Nr	Wahlberechtigte		Wähler	
	Erststimmen		Erststimmen	
	Endgültig	Vorperiode	Endgültig	Vorperiode
225	205115	202947	142584	157644
226	249153	244362	183832	195607
227	154767	154154	94922	109196
228	246833	242102	171065	186087
229	186068	184728	118249	132420
230	162109	161553	104487	119605
231	173068	172616	112708	127264
232	214616	213156	153659	166438
233	243083	236419	171002	180592
234	216044	215477	143939	160516
235	172011	172807	124026	134636
236	177197	173588	129049	135999
237	164344	165436	117290	128398
238	162834	164542	115851	128079
239	180735	186643	126096	141563
240	173473	173566	128501	137658
241	243953	242756	171989	187535
242	177261	172655	135845	139877
243	249703	245961	179941	190859
244	189738	183712	135154	139713
245	184672	183616	124786	137634
246	224946	223294	171076	183237
247	183872	182224	135005	144283
248	219607	220582	162052	175290
249	199081	197707	147482	158422
250	200116	198245	146050	156430
251	225807	222087	170031	178409
252	206196	203162	135957	149458
253	240672	236590	177024	191577
254	189097	187610	133619	147222
255	235775	232818	164678	179115
256	221708	217158	158857	169643
257	242341	239599	170224	186381
258	184454	179288	142504	145294
259	181088	179622	129259	138583
260	244919	241166	185176	196769
261	165210	163579	125558	133889
262	204091	201242	154949	164944
263	180442	180833	129901	142455
264	220220	217671	164521	176569
265	206805	203269	156053	165170
266	224090	218571	170674	179071
267	241035	237705	168927	183367
268	223234	220164	154351	165515
269	176381	175509	126601	136784
270	224418	224632	159936	174933
271	201833	197356	143521	150150
272	208654	205134	155522	165906
273	208664	207276	146160	158399
274	211807	208852	162920	170915
275	198437	198518	134143	146286
276	215910	216051	153296	168380
277	195971	193332	144215	155883
278	194304	190693	141401	152375
279	220877	218955	155907	169442
280	198923	198594	142812	153953
281	210636	205189	157681	165010
282	225703	220779	156692	169552
283	213013	209138	149482	160982
284	204619	201410	141835	151908
285	200726	199140	141391	153257
286	167458	167645	117355	129388
287	197671	193465	140167	150629
288	177784	176676	125418	136437
289	198466	195834	145837	156407
290	189559	182904	143896	148011
291	218867	214908	161673	171930
292	162508	158342	117289	125405
293	167789	163240	122655	129793
294	181362	177314	130128	138293
295	185890	185197	130436	141883
296	207292	209832	146713	161396
297	214924	216527	159639	173032
298	184896	187024	142795	153996
299	201442	205095	147047	161665
