Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
14;2032;2596;1728;2332;25389;51623;23223;53531;34517;35053;34759;31419;8517;5656;12234;7436;41539;30578;40045;32859;13727;12917;10772;7483;;;;;3215;;2999;2768;;;177;;;;;;;;;;;;;313;554;1179;324;576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4215;;;;;;;;;;;;;;1044;;;1205
15;2157;2562;1911;1978;14040;35028;15048;35478;57865;57131;43650;47783;5668;4078;13087;10351;30935;32850;33522;33294;3735;2734;5349;4404;;;;;3262;4787;3434;5033;;;236;;;;;;;;;;;;;384;;;210;454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2564;;;;;;;;;;;;;;1801;1692;;1016
16;2063;3056;2269;3159;15995;36308;14941;35419;46147;53000;44679;50875;10414;7946;12686;9502;35385;34543;34198;33863;5736;3855;6241;4718;;;;;5552;6865;5274;6459;;;301;;;;;;;;;;;;;417;;;212;401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2968;;;;;;;;;;;;;;2135;;;995
17;2460;3111;2324;2979;28457;50836;22778;48027;45176;48653;44654;46295;9485;5820;13038;9470;35601;34824;36412;35020;6255;4252;6762;5989;;;;;4118;5261;3869;5071;;;237;;;;;;;;;;;740;;658;;;277;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;523;;;;;;2525;;;;;;;;;;;;;;647;1072;;835
18;2616;3268;2326;2954;19696;40157;18106;38950;38102;42316;38746;39683;8015;6183;9888;7899;37851;36734;36270;36782;4500;3358;4745;4237;;;;;5733;6437;5283;6156;;;239;;;;;;;;;;;;;400;;;250;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2467;;;;;;;;;;;;;;1643;;;856
19;2691;3124;2237;2997;56809;87748;46419;74573;43587;48762;38689;42351;12818;6407;19105;13806;21718;10869;22702;13967;27213;20230;27865;27703;;;;;2348;2433;1822;2201;;;;;;;;;;;;1540;;;;;;;132;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243;;;;;;;;;;;;675;;;;6303;;;;;;;;1176;;;;;;;715;;1108
20;2727;2588;2089;2386;46522;61936;32633;47600;38969;45468;33916;38333;10517;4444;17028;12185;12605;6492;15670;8914;17799;15507;24462;25387;;;;;771;973;795;951;;;;;;;;;;;;853;;;;;158;;84;86;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;;;;;;;;;;709;;545;;;;3344;;;;;;;;755;;;;;;954;;;728
21;1475;1552;1294;1335;33364;65610;37722;54488;43714;49039;37695;40058;11732;5297;18851;13841;12540;6366;14732;8977;36518;18249;25819;26223;;;;;969;1068;799;910;;;;;;;;;;;;936;;;;;;;70;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;;;;;;;;;;;;428;;;;3531;;;;;;;;934;;;;;;1295;;;530
22;1891;1725;1298;1337;53469;72148;40909;58596;61873;65788;50174;53812;12766;6003;25269;18089;10805;5602;13429;7951;21268;16177;26306;26143;;;;;1010;1053;794;979;;;;;;;;;;;;945;;;;;;;46;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;;411;;;;3289;;;;;;;;876;;;;;;;;;432
23;1821;1581;1357;1359;51460;79926;42705;65105;53958;57577;44770;49305;11408;5648;20181;14572;14021;7542;16205;9827;13914;8237;17518;18519;;;;;1972;2256;1674;2171;;;;;;;;;;;;1350;;;;;;;50;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;261;;;;;;;;;;1190;;527;;;;3158;;;;;;;;1314;;;;;;;;;441
