Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
54;2638;2979;2047;2757;60483;83493;48788;75126;56503;63639;47343;54431;10765;6324;22086;15980;12493;7624;14635;9267;21360;13854;23708;19066;;;;;2323;2356;2072;2353;;;;;;;;;;;1176;941;;;;232;;;58;85;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115;;;;;;;;;;;;195;;;;3707;;;;724;;;;;;;;;;361;982;;904
55;2227;2425;1908;2218;62588;93663;52387;77039;53255;54538;46284;46223;13587;7198;21021;17186;21226;12701;24883;15817;31564;23445;32556;32198;;;;;2012;2203;1567;2085;;;247;;;;;;;;;;;;458;614;343;;133;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373;;;;;;;;;;;;;;;;4564;;;;1617;;;;;;;;;;1057;;;2751
56;2557;2799;2099;2466;58879;91154;50032;78327;39186;41582;34680;36166;10850;6316;14947;12143;21647;12957;23486;14753;16985;11702;19727;19402;;;;;2614;3310;2045;3256;;;330;;;;;;;;;;;;397;469;;;83;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;657;;;;;;;;;;;;;;;;3610;;1563;;2527;;;;;;;;;;423;681;;3209
57;2691;3033;2317;2895;33532;47727;29446;45385;22851;29092;24913;27219;8162;5522;9068;7941;32198;31280;30550;32966;4483;6809;4587;5510;;;;;3314;3517;2494;3400;;;170;;;;;;;;;;;;;;;;84;227;;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;875;;;;;;;;828;;;;;;;;1829;;;;;;;;;;;;;;;;;1371
58;3477;2336;3020;2264;27674;48358;26761;44371;26512;28104;24524;25204;6396;4174;7907;6585;32791;34257;31833;35772;4385;2947;4762;4579;;;;;3945;4237;3139;3964;;;191;;;;;;;;;;;;;;;;106;229;;;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;745;;;;;;;;687;;;;;;;;1960;;;;;;;;;;;;;;781;;;1725
59;3330;2425;3010;2073;48621;76005;42959;65617;46088;47977;41575;40007;12963;7567;19163;14446;40334;39751;38980;40008;12193;;12974;11868;;;;;5400;5797;4153;5828;;;478;;;4120;;;;;;;;;;;;;181;332;;;377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1305;;;;;;;;1299;;;;;;;;3891;;;;;;;;;;;;;;1008;;;3509
60;4907;3439;4179;3041;38441;65841;36544;64590;39863;38074;36583;34858;11115;7123;15311;12233;62523;61604;56938;55493;8181;4817;10211;9020;;;;;6069;6140;4365;6290;;;419;;;;;;;;;;;;;;;;209;380;;;327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2140;;;;;;;;1730;;;;;;;;4515;;;;;;;;;;;;;;2846;2620;;3477
61;4669;3383;4415;3261;40957;59304;34451;54128;30733;32329;29834;29083;7328;6029;9992;9494;35484;37881;35643;38172;4771;4063;6047;6442;;;;;3764;4261;3013;4224;;;172;;;;;;;;;;;;;;;;151;340;;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1163;;;;;;;;807;;;;;;;;3093;;;;;;;;;;;;;;1638;;;2184
62;3598;3139;3708;2939;48720;72719;44450;66782;40708;38140;36600;33168;12356;6180;17986;13567;48515;46820;43354;42739;16479;8387;18279;15766;;;;;3061;3173;2129;3162;;;269;;;2652;;;;;;;;;;;;;202;353;;;345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;939;;;;;;;;942;;;;;;;;5171;;;;;;;;;;;;;;;;;2765
63;4387;2633;3560;2402;53384;76660;42834;66478;40882;43122;39092;39057;11959;7521;16102;12869;43348;41949;44923;45267;9041;5426;9912;8958;;;;;5992;5667;4711;5477;;;368;;;427;;;;;;;;;;;;;162;356;;;397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1255;;;;;;;;1352;;;;;;;;4357;;;;;;;;;;;;;;;;;2828
64;5598;3892;4739;3374;38470;55335;32750;55201;30153;31943;30506;29626;10125;6256;12018;9917;43589;51895;42581;45467;7502;4332;7464;7078;;;;;4928;5679;3788;5602;;;395;;;;;;;;;;;;;;;;210;500;;;374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1052;;;;;;;;1108;;;;;;;;3385;;;;;;;;;;;;;;;629;;2868
65;4461;2957;3597;2767;34529;55110;29999;52699;29829;32147;30360;29234;10878;8128;11230;10193;37224;39877;36561;40410;5650;4111;6093;6302;;;;;4806;5116;3765;5049;;;344;;;;;;;;;;;;;;;;179;404;;;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1169;;;;;;;;1055;;;;;;;;3636;;;;;;;;;;;;;;1045;1939;;2459
66;4218;2653;3530;2331;32688;50985;28022;46438;35073;37826;33467;34944;8487;8223;10865;10491;34324;37797;34203;40065;3861;3670;4238;4730;;;;;5513;7802;3839;7284;;;278;;;;;;;;;;;;;;;;137;393;;;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2399;;;;;;;;1435;;;;;;;;2995;;;;;;;;;;915;;;;587;;;2197
67;4692;3156;3992;2917;22070;44012;19516;43852;34501;41197;33330;35087;6558;4515;9725;8372;36910;36157;37034;36503;3725;2975;5212;4584;;;;;2461;2977;2318;2902;;;;340;;;;;;;;;;;;;;;232;348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;449;;;;;;;;;;;;;;;;2422;;;;;;;;;;;;;;4203;563;;724
68;2552;2810;2742;2494;31994;64381;25606;58156;46686;47925;45060;45649;13914;9003;15368;12646;41040;39398;43781;42866;5041;3950;6081;5698;;;;;3446;4715;3033;3977;;;;473;;;;;;;;;;;;;;;331;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;461;;;;;;;;;;;;;;;;3320;;;;;;;;;;;;;;733;1191;;1162
69;3411;4368;3224;3901;28732;58478;24320;57891;46632;45977;44402;42617;10236;9185;13274;12557;43952;44872;45676;45006;7791;6469;7141;6537;;;;;3862;4979;3277;4372;;;;672;;;;;;;;;;;;;;;309;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;;;;;;;;;;;;;;;;2897;;;;;;;;;;;;;;;234;;926
70;3135;4369;2699;3582;32844;69879;28217;63537;46481;42609;42150;38687;9890;6991;13801;11612;48069;45407;48333;47239;8637;5635;10281;9406;;;;;2618;3179;2275;2985;;;;441;;;;;;;;;;;;;626;873;410;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;294;;;;;;;;;;;;;;;;4605;;;;;;;;;;;;;;851;670;;929
71;2932;4017;2582;3700;22187;49423;19739;46559;43424;45006;38247;37437;8810;6665;12614;12748;36809;34161;37709;36876;5004;4220;6131;6415;;;;;2928;3515;2627;3370;;;;529;;;;;;;;;;;;;544;667;317;665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;428;;;;;;;;;;;;;;;;3000;;;;;;;;;;;;;;878;2224;;1407
72;2348;2830;2120;2705;30401;63003;23225;56082;43722;48674;42696;43686;10929;9071;14764;15356;44087;42190;46628;47205;4878;3771;5221;5577;;;;;3649;5375;3315;4841;;;;878;;;;;;;;;;;;;888;878;483;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;445;;;;;;;;;;;;;;;;3066;;;;;;;;;;;;;;1132;2383;;1199
73;3442;4271;3285;3942;22341;56529;21684;52620;42430;40958;37004;33801;11760;8532;15974;15034;46272;42260;43617;42147;11056;5405;11950;10772;;;;;2483;2963;2234;2885;;;;374;;;;;;;;;;;;;981;1165;511;930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;;;;;;;;;;;;;;;;4306;;;;;;;;;;;;;;;1542;;941
74;2462;3253;2185;3103;23592;47943;19513;44955;41281;44756;39777;39561;11224;8584;14153;13647;39610;39820;39876;40483;3950;3253;4740;5045;;;;;4399;7067;3792;6383;;;;594;;;;;;;;;;482;;;;;257;496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380;;;;;;;;;;;;;;;;2541;;;;;;;;;;;;;;912;6;;788
75;2535;3852;2474;3811;23028;54925;21030;51257;43014;47216;39645;41138;10818;9419;14574;15183;47051;45003;46802;47097;5465;3434;4977;5112;;;;;4337;5554;3713;5255;;;;524;;;;;;;;;;;;;;114;331;593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;407;;;;;;;;;;;;;;;;2623;;;;;;;;;;;;;;;1154;;1001
76;3127;4195;2738;3854;33943;58445;27780;48550;28760;32321;24854;27047;8869;5188;13590;10527;24871;19271;25216;20989;28108;19375;28880;25309;;;;;2110;1757;1530;1625;;1331;519;1084;;;;;;;1576;;;;;;;;107;81;951;1010;329;263;;;;;;;116;115;;;;;;;;;;;;;;;;;;;167;;;;129;;;;527;;;;;;;;245;;;;5450;;;;;;;;;;;;;;2994;663;;4195
77;2749;2829;2340;2405;44769;70730;29850;59613;28374;26407;28163;24750;9604;5241;13626;9839;47070;41864;45099;42051;26674;21946;32401;27181;;;;;3702;3821;3007;3235;;;486;792;;;;;;;2225;;;;;;;;104;116;1090;823;457;344;;;;;;;178;153;;;;;;;;;;;;;;;;;;;235;;;;241;;;;559;;;;;;;;351;;;;6767;;;;;;;;;;;;;;1980;1289;;4368
78;2836;2700;2350;2379;35540;61133;27842;48283;50554;54262;42771;47223;13711;7841;20580;15541;10525;6883;12060;8902;13875;7821;17577;14795;;;;;2613;1805;2074;1800;;1516;772;1414;;;;;;;1946;;;;;;;;30;35;879;567;372;225;;;;;;;76;104;;;;;;;;;;;;;;;;;;;36;;;;165;;;;340;;;;;;;;246;;;;2979;;;;;;;;;;;;;;1796;1925;;6052
79;3039;3294;2666;2673;41051;64119;29109;49797;44994;48791;37170;40351;10612;5562;18277;13593;11446;7608;13611;9983;10853;6347;16451;14485;;;;;2463;1733;1982;1703;;1515;618;1314;;;;;;;2019;;;;;;285;;96;96;1245;1349;560;301;;;;;;;87;117;;;;;;;;;;;;;;;;;;;44;;;;184;;;;371;;;;;;;;226;;;;3173;;;;;;;;;;;;;;752;;;5701
80;3098;3480;2821;3063;45691;68537;34488;54034;66075;70874;53085;56937;15138;9358;28876;23027;9325;6849;12270;9253;27392;17724;33004;28356;;;;;1544;1696;1309;1355;;;472;579;1416;;;;;;1860;;;;;;;;34;37;462;962;283;337;;;;;;;79;100;;;;;;;;;;;;;;;;;;;36;;;;137;;875;;623;;;;;;;;312;;;;3739;;;;;;;;;;;;;;2267;1166;;3871
81;2610;3081;2188;2361;47340;68625;31719;50168;44549;52408;39331;42736;16397;8591;24313;19341;9978;7042;12868;9152;26778;17273;32724;30468;;;;;1187;1298;893;980;;;262;381;;;;;;;1518;;;;;;;;34;39;912;857;265;231;;;;;;;53;60;;;;;;;;;;;;;;;;;;;45;;;;88;;;;465;;;;;;;;243;;;;3564;;;;;;;;;;;;;;592;;;3204
82;2623;2771;1971;2105;38244;62125;36351;62854;54971;59787;45372;49847;13292;7396;23407;18254;13787;8538;16995;12395;44506;38198;36630;30703;;;;;2413;2202;1891;1854;;;545;893;;;;;;;2270;;;;;;;;72;64;1328;330;463;220;;;;;;;86;125;;;;;;;;;;;;;;;;;;;101;;;;192;;;;598;;;;;;;;335;;;;4619;;;;;;;;;;;;;;854;3337;;5162
83;3533;3680;3001;3222;35168;55264;27639;48866;39618;51444;33469;40087;11468;5076;16486;12035;15852;9375;17986;12260;18805;13381;22698;18438;;;;;3356;2832;2554;2370;;;611;1052;;;;;;;2066;;;;;;218;296;108;172;;;209;92;;;;;;;128;112;;;;;;;;;;;;;;;;;280;;150;;;;158;;;;394;;;;;;;;261;;;;4339;;;;;;;;;;;;;;3933;2931;;5583
84;3915;3625;3357;3157;26415;33562;32015;60421;18394;18300;18788;17899;6425;4328;9693;7402;27796;29145;39641;33711;73897;69988;43347;35410;;;;;1791;2466;1436;1923;;;284;415;;;;;;;1793;;;;;;;;130;170;;329;166;170;;;;;;;171;146;;;;;;;;;;;;;;;;;649;;354;;;;118;;;;727;;;;;;;;306;;;;9473;;;;;;;;;;;;;;2922;3686;;4495
85;2572;3034;2419;2676;25520;49807;27765;54938;29124;24823;25955;22791;6247;3532;11261;8448;62880;60470;47438;42675;10495;6051;15486;12468;;;;;4092;3788;3688;3549;;;443;661;;;;;;;2106;;;;;;398;;168;150;1131;1333;513;395;;;;;;;132;179;;;;;;;;;;;;;;;;;;;205;;;;234;;;;367;;;;;;;;281;;;;4713;;;;;;;;;;;;;;625;;;3754
86;2326;2498;2083;2294;20336;42132;20906;49595;24563;23459;22875;20499;6969;4356;9741;7241;60236;61845;51662;50042;7242;5372;8847;7588;;;;;4725;5428;3832;4634;;;456;731;;;;;;;2189;;;;;;;;127;163;1564;1326;579;501;;;;;;;156;226;;;;;;;;;;;;;;;;;;;235;;;;356;;;;249;;;;;;;;189;;;;4274;;;;;;;;;;;;;;766;1146;;4180
87;2496;2604;2224;2268;24028;47112;22618;50555;22566;20138;21347;18548;5048;4002;8666;6909;61874;62824;53815;52217;9652;6373;11490;9345;;;;;4492;4682;3603;4042;;;453;631;;;;;;;1960;;;;;;;;101;131;1384;1434;513;415;;;;;;;158;186;;;;;;;;;;;;;;;;;;;286;;;;273;;;;272;;;;;;;;225;;;;4972;;;;;;;;;;;;;;1439;;;3961
88;2283;2533;2014;2158;38523;55086;28937;45300;50703;53170;41146;44710;11554;7476;19464;15655;9520;6655;10911;8165;17241;12462;20765;19566;;;;;1088;1034;789;880;;;221;218;;;385;369;;;672;541;;;;71;;;34;32;;;32;53;;;;;;;9;48;;;87;93;;;62;41;;;;;;;;;;;;;;;54;;;;;;;;;;;;149;;;;4837;;;;149;;;;314;;;;;;;;;481
89;1582;1996;1194;1656;54205;79617;45981;71160;63511;68563;53062;59633;13275;7308;23518;16243;13502;9139;14926;11003;11056;6205;12491;10309;;;;;2501;2302;1767;1676;;;820;926;;;792;818;;;1107;941;;;;90;;;19;37;;;29;38;;;;;;;18;76;;;125;173;;;70;42;;;;;;;;;;;;;;;114;;;;;;;;;;;;81;;;;2764;;;;239;;;;597;;;;;;;;;584
90;2766;3509;2296;2894;31111;52148;27877;45723;65143;71887;53888;60704;12342;7345;21315;15059;9859;6512;10638;7193;8933;;9307;7250;;;;;1964;1932;1532;1438;;;413;716;;;784;718;;;1047;781;;;;131;;;17;29;;;24;56;;;;;;;20;58;;;145;124;;;69;45;;;;;;;;;;;;;;;73;;;;;;;;;;;;94;;;;1976;;;;199;;;;420;;;;;;;;;485
91;2409;3424;1923;2738;43655;64858;36209;57163;65662;68166;53597;58467;10745;5628;21383;14298;10079;6504;11924;8317;8956;4476;11102;8672;;;;;2514;1776;2066;1516;;;259;384;;;891;784;;;1100;891;;;;207;;;20;24;;;28;36;;;;;;;19;70;;;201;172;;;72;58;;;;;;;;;;;;;;;74;;;;;;;;;;;;62;;;;2273;;;;207;;;;592;;;;;;;;;671
92;2447;2707;1979;2385;63487;90150;49072;77413;69845;74380;60798;63432;18620;9168;29495;21187;11215;7041;13214;8853;11195;5797;16136;12838;;;;;2620;1956;1952;1562;;;500;475;;;793;792;;;1333;1177;;;;82;;;33;37;;;42;58;;;;;;;29;82;;;236;184;;;80;47;;;;;;;;;;;;;;;98;;;;;;;;;;;;151;;;;2688;;;;195;;;;933;;;;;;458;;;840
93;2597;3083;2259;2516;50035;73415;40709;65444;75290;86515;63653;70202;20620;10419;32011;24766;11679;7349;13139;8751;12239;6774;15126;12973;;;;;2321;1867;1810;1553;;;420;602;;;931;845;;;1276;1007;;;;152;;;43;31;;;40;54;;;;;;;24;101;;;209;177;;;103;79;;;;;;;;;;;;;;;146;;;;;;;;;;;;160;;;;2523;;;;326;;;;844;;;;;;464;650;;710
94;3421;3442;2576;2984;43837;66317;33774;54131;42094;46224;34195;37104;10902;5516;18981;15085;10614;6717;12092;8340;15557;9992;20019;18127;;;;;1971;1286;1398;1079;;;368;411;;;433;405;;;816;591;;;;105;;;70;61;;;25;38;;;;;;;20;91;;;179;157;;;74;47;;;;;;;;;;;;;;;53;;;;;;;;;;;;146;;;;2522;;;;214;;;;454;;;;;;318;404;;912
95;1718;708;1178;480;55471;75703;37665;57525;59710;59855;48545;50944;18455;13225;32663;24935;9550;6079;12138;8338;26614;17238;34040;28785;;;;;1131;887;809;601;;;227;247;;;337;312;;;755;590;;;;87;281;;41;44;;;27;45;;;;;;;28;61;;;129;105;;;67;43;;;;;;;;;;;;;;;48;;;;;;;;;;;;252;;;;3237;;;;207;;;;341;;;;;;;;;799
96;1350;965;1006;491;47625;71575;37019;57935;38093;43054;33367;35646;11187;5569;17225;13712;11390;6809;13540;8809;22550;13196;24797;21883;;;;;1788;1233;1231;973;;;367;578;;;473;402;;;847;602;;;;121;;;53;50;;;38;48;;;;;;;26;87;;;153;148;;;58;44;;;;;;;;;;;;;;;57;;;;;;;;;;;;201;;;;2791;;;;257;;;;456;;;;;;;289;;892
97;1619;750;1296;545;55251;71537;37387;54523;51674;67381;51654;59241;31606;14841;31483;23429;8381;5125;11624;7589;16856;10505;26573;22776;;;;;1211;1032;1049;823;;;244;221;;;443;447;;;786;647;;;;190;;;40;33;251;;87;37;;;;;;;26;39;;;137;119;;;87;73;;;;;;;;;;;;;;;52;;446;;;;;;;;;;208;;;;3685;;;;74;;;;280;;;;;;;;;579
98;1898;2385;1655;2040;42568;73513;37986;61692;73959;80894;58516;67060;18727;7780;31488;21733;10523;5615;11650;7670;15389;7311;17359;14605;;;;;1765;1580;1462;1574;;;271;300;;;678;669;;;1113;870;;;;380;;;19;34;;;21;39;;;;;;;15;50;1581;999;741;582;;;100;83;;;;;;;;;;;;;;;93;;;;;;;;;;;;153;;;;2887;;;;194;;;;432;;;;;;319;;;622
99;2203;1993;1856;1722;39489;59838;33235;51802;80363;87736;59487;69678;16012;8063;34858;24947;7430;4492;8800;5867;14046;7708;16898;13843;;;;;1443;1130;1188;1099;;;224;232;;;605;468;;;974;675;;;;304;;;27;29;;;15;32;;;;;;;15;49;969;474;452;197;;;96;49;;;;;;;;;;;;;;;69;;;;;;;;;;;;149;;;;2445;;;;163;;;;331;;;;;;;;;483
100;1994;1674;1715;1361;41165;62195;35604;55537;71759;79789;56807;64751;12990;6743;25007;18849;9599;5736;11070;7232;10066;6129;12826;10891;;;;;1734;1509;1317;1401;;;380;484;;;905;854;;;977;898;;;;698;;;16;38;;;36;27;;;;;;;22;82;;;193;149;;;79;53;;;;;;;;;;;;;;;119;;;;;;;;;;458;;264;;;;2035;;;;228;;;;551;;;;;;449;351;;554
101;2389;2590;2173;2544;43992;65495;38415;58867;82523;86290;58572;64757;14198;7881;31480;24683;8561;5358;10832;7180;13745;8735;18582;15421;;;;;1643;1415;1227;1109;;;353;358;;;725;678;;;1111;879;;;;272;;;30;48;;;47;66;;;;;;;18;46;;;197;125;;;87;42;;;;;;;;;;;;;;;94;;;;;;;;;;;;177;;;;2346;;;;292;;;;543;;;;;;409;;;704
102;1598;1861;1541;1800;53517;78235;40982;66721;51242;57271;43188;47453;11332;6248;20670;16015;11723;7050;13715;8856;13386;8425;18064;15856;;;;;2364;1689;1815;1430;;;448;522;;;712;661;;;1039;716;;;;145;323;280;180;170;;;42;50;;;;;;;29;89;;;153;169;;;76;46;;;;;;;;;;;;;;;92;;;;;;;;;;;;160;;;;2578;;;;292;;;;620;;;;;;529;355;;887
103;2044;1704;1605;1471;51180;78426;39244;66241;49021;58192;40972;47248;11852;7008;19458;17473;15003;9454;16743;11629;13308;7720;18285;15229;;;;;2337;2106;1537;1542;;;1098;1186;;;629;719;;;1009;943;;;;290;287;;114;114;;;25;50;;;;;;;27;86;;;169;184;;;56;47;;;;;;;;;;;;;;;78;;;;;;;;;;;;128;;;;2880;;;;189;;;;533;;;;;;;943;;1095
104;2101;2526;1915;2299;54910;76358;42869;67871;62365;72385;51248;58141;13940;9506;26079;22293;13418;8336;15057;10182;12956;7600;16357;12718;;;;;2446;1963;1668;1482;;;664;823;;;819;741;;;1103;964;;;;292;;375;91;167;;;44;47;;;;;;;26;65;;;193;177;;;102;49;;;;;;;;;;;;;;;139;;;;;;;;;;;;157;;;;2891;;;;223;;;;668;;;;;;;;;781
105;2157;2601;1794;2331;50319;64699;36767;58511;66300;77187;52053;61598;11674;6879;27081;20143;8412;5753;10411;7178;10611;7034;15404;11398;;;;;1690;1520;1218;1183;;;628;545;;;785;667;;;960;761;;;;211;;;32;52;;;48;79;;;;;;;21;49;;;164;131;;;84;40;;;;;;;;;;;;;;;69;;;;;;;;;;;;123;;;;2401;;;;257;;;;596;;;;;;;;;945
106;1709;2105;1613;1686;43173;58157;32740;51750;48276;55728;40999;47366;11332;7120;20574;15867;8418;6321;9839;6668;8447;5188;11350;8806;;;;;1503;1246;1061;885;;;467;474;;;596;487;;;756;597;;;;161;;;28;61;;;28;27;;;;;;;20;60;;;122;129;;;94;46;;;;;;;;;;;;;;;84;;;;;;;;;;;;95;;;;1955;;;;199;;;;422;;;;;;;;;632
107;1541;1476;1261;1220;45125;68314;35625;56672;68749;74976;52747;59644;16472;8763;31626;23983;10266;6239;11962;8180;15894;8624;19967;16217;;;;;1304;1129;804;818;;;734;480;;;405;358;;;876;642;;;;117;204;188;71;107;;;38;58;;;;;;;28;49;;;114;110;;;90;53;;;;;;;;;;;;;;;47;;;;;;;;;;;;104;;;;2554;;;;155;;;;439;;;;;;;;;997
108;1586;1771;1214;1519;44295;66555;34873;56223;50233;55982;40906;46704;10758;6324;20625;15200;12948;7070;13244;8569;13137;7483;16897;13902;;;;;1560;1215;900;874;;;1002;718;;;511;491;;;841;741;;;;140;202;;64;68;;;28;75;;;;;;;23;48;;;119;146;;;89;46;;;;;;;;;;;;;;;63;;;;;;;;;;;;108;;;;2499;;;;208;;;;495;;;;;;;257;;1170
109;1690;1881;1328;1652;43614;65603;36812;57537;70787;77781;55419;65763;12763;5994;25944;18411;8709;5464;9755;6484;9935;5111;12133;9806;;;;;2168;1673;1543;1392;;;530;550;;;813;635;;;989;786;;;;101;;;30;67;;;22;44;;;;;;;22;72;;;133;144;;1297;509;577;;;;;;;;;;;;;;;85;;;;;;;;;;;;107;;;;2556;;;;242;;;;603;;;;;;;;;648
110;1966;1570;1695;1476;33852;54170;30018;48167;55784;66715;43020;54439;11573;5711;22148;16819;9233;5870;10241;7337;10162;5308;10876;8715;;;;;1569;1550;1231;1237;;;301;328;;;526;623;;;906;804;;;;134;;;31;40;;;20;24;;;;;;;19;59;;;104;115;;;259;56;;;;;;;;;;;;;;;49;;;;;;;;;;;;84;;;;2191;;;;196;;;;526;;;;;;243;;;602
111;1774;2170;1444;1995;43087;61414;35551;53272;62639;75258;53252;61323;18168;8050;28625;21763;8641;5569;10016;6867;12043;6994;13867;11422;;;;;1358;1202;1012;1087;;;345;444;2100;;1028;763;;;926;798;;;;122;;;44;77;;;32;38;;;;;;;20;61;;;121;129;;;285;137;;;;;;;;;;;;;;;60;;;;;;;;;;;;90;;;;2267;;;;195;;;;522;;;;;;;442;;736
112;1695;2218;1473;2108;41691;64985;36743;58961;79359;84058;61723;69446;15755;9520;30071;22469;11102;6568;11935;7627;12633;8065;14433;11651;;;;;1836;1598;1428;1319;;;302;417;;;840;847;;;1269;1033;;;;182;;;22;48;;;22;41;;;;;;;25;73;;;133;132;;;106;95;;;;;;;;;;;;;;;78;;;;;;;;;;;;130;;;;2554;;;;171;;;;723;;;;;;;;;663
113;1990;2478;1658;2268;46290;63567;36810;56710;76480;85994;66161;76189;14620;8460;25249;18331;8787;5207;9566;6540;10148;6310;12355;9545;;;;;;1427;1045;1272;;;299;320;;;819;725;;;974;871;;;;117;;;25;39;;;29;47;;;;;;;15;90;;;115;119;;;90;51;;;;;;;;;;;;;;;95;;;;;;;;;;;;138;;;;2277;;;;166;;;;511;;;;;;;;;485
114;2128;2934;1714;2448;57225;79615;48139;72290;57576;63622;49564;53850;10624;5716;19441;14529;11071;6301;12676;7708;9873;5884;12853;10209;;;;;1569;1344;1323;1148;;;395;474;1583;;923;675;;;969;786;;;;88;;;30;75;;;28;29;;;;;;;15;64;;;97;125;;;86;54;;;;;;;;;;;;;;;87;;;;;;;;;;;;114;;;;2335;;;;187;;;;446;;;;;;;;;462
115;1740;1975;1553;1891;50636;71413;40990;61757;44906;51285;38812;43053;11098;6006;18168;14161;10123;5564;11438;7209;9462;5168;12727;10897;;;;;1425;1291;1091;994;;;308;451;;;535;545;;;841;721;;;;134;270;;108;91;;;21;23;;;;;;;20;60;;;102;117;;;72;43;;;;;;;;;;;;;;;76;;;;;;;;;;;;76;;;;2078;;;;187;;;;539;;;;;;;;;602
116;1681;2077;1412;1946;53363;80328;45956;71746;40001;41821;33638;35040;7501;3951;12709;9644;13237;8936;14678;10468;9791;5884;12118;11955;;;;;2191;1571;1529;1222;;;594;645;;1310;662;874;;;1038;825;;;;102;;;161;157;;;36;62;;;;;;;32;42;;;120;135;;;131;48;;;;;;;;;;;;;;;110;;;;;;;;;;;;107;;;;2305;;;;217;;;;551;;;;;;405;;;688
117;1837;2108;1634;2256;44436;70299;38305;62995;24779;28066;21808;24076;5189;2625;7872;6219;10519;7621;12940;8980;5430;2942;6582;6873;;;;;2953;2246;1960;1798;;;519;650;;;502;524;;;818;745;;;;66;275;371;168;242;;;32;38;;;;;;;28;47;;;80;121;;;177;41;;;;;;;;;;;;;;;114;;;;;;;;;;;;51;;;;1503;;;;175;;;;453;;;;;;264;;;519
118;1709;2088;1467;2324;65189;95580;57689;88560;40001;43411;35712;38228;9231;4344;15049;10362;14008;9108;16311;10843;14772;9668;13352;11350;;;;;2643;1905;2011;1656;;;480;597;;;740;648;;;1109;848;;;;89;282;274;118;180;;;43;40;;;;;;;35;79;;;119;114;;;93;60;;;;;;;;;;;;;;;135;;;;;;;;;;;;106;;;;2325;;;;211;;;;667;;;;;;;;;620
119;1982;2328;1803;2344;57547;81810;49498;74069;44653;51021;37762;42744;11852;5149;18416;12595;12143;7918;13226;9801;10801;6385;13253;11676;;;;;1940;1326;1458;1174;;;538;512;;1477;698;1033;;;1018;706;;;;150;;377;139;230;;;60;38;;;;;;;32;41;;;108;113;;;66;38;;;;;;;;;;;;;;;83;;;;;;;;;;;;97;;;;2054;;;;227;;;;518;;;;;;;;;554
120;1722;1827;1407;1816;49023;72664;41637;64278;28968;34099;25067;29742;6967;3692;10947;7848;11065;7603;12431;9238;7352;4186;9495;8787;;;;;2218;1862;1619;1366;;;979;853;;;565;576;;;874;795;;;;91;240;328;141;204;583;;154;44;;;;;;;31;52;;;118;189;;;74;47;;;;;;;;;;;;;;;62;;;;;;;;;;;;65;;;;1852;;;;171;;;;407;;;;;;;;;616
