id;name;bundesland;wahlberechtigte;;waehler;
107;D�sseldorf I;5;218215;215651;159600;170004
108;D�sseldorf II;5;195910;193401;134823;146767
109;Neuss I;5;213950;212741;149942;164493
110;M�nchengladbach;5;194294;195069;124190;141494
111;Krefeld I - Neuss II;5;204291;202982;149731;161147
112;Viersen;5;227805;225763;164366;177272
113;Kleve;5;226029;223341;158453;173899
114;Wesel I;5;207451;204858;151261;164457
115;Krefeld II - Wesel II;5;182878;182775;129601;142804
116;Duisburg I;5;185802;188411;128326;145909
117;Duisburg II;5;159541;163423;95554;116258
118;Oberhausen - Wesel III;5;212283;213983;148108;166618
119;M�lheim - Essen I;5;194638;197688;140658;157290
120;Essen II;5;171457;174161;107997;126509
121;Essen III;5;197729;200447;149281;163555
122;Recklinghausen I;5;174767;176449;124037;136212
123;Recklinghausen II;5;194999;196107;140361;154197
124;Gelsenkirchen;5;187486;193519;121673;142477
125;Steinfurt I - Borken I;5;200304;196748;143677;155261
126;Bottrop - Recklinghausen III;5;208655;209649;148523;166096
127;Borken II;5;196659;191988;147728;157139
128;Coesfeld - Steinfurt II;5;189353;185527;146369;154087
129;Steinfurt III;5;192966;189035;143782;153522
130;M�nster;5;210934;204797;163921;169999
131;Warendorf;5;211287;209515;156217;169657
132;G�tersloh;5;232944;228920;168245;181941
133;Bielefeld;5;247085;247826;180441;198212
134;Herford - Minden-L�bbecke II;5;233781;233966;165115;183164
135;Minden-L�bbecke I;5;209155;209727;147381;163935
136;Lippe I;5;174517;175671;127817;141032
137;H�xter - Lippe II;5;216917;218164;158321;173748
138;Paderborn;5;243442;237651;172558;187143
139;Hagen - Ennepe-Ruhr-Kreis I;5;217768;222204;150712;170222
140;Ennepe-Ruhr-Kreis II;5;183435;185393;135860;148698
141;Bochum I;5;214358;217794;153800;172973
142;Herne - Bochum II;5;188777;192599;128511;147020
143;Dortmund I;5;214213;214994;149331;163470
144;Dortmund II;5;208840;211796;141167;158010
145;Unna I;5;202933;204227;148909;163816
146;Hamm - Unna II;5;239907;241232;167422;185247
147;Soest;5;232781;230957;165293;180932
148;Hochsauerlandkreis;5;209440;210773;152242;167361
149;Siegen-Wittgenstein;5;218411;219343;156878;171326
150;Olpe - M�rkischer Kreis I;5;214196;215002;151127;166389
151;M�rkischer Kreis II;5;210993;213340;146986;163134
152;Nordsachsen;14;178447;183579;109628;136545
153;Leipzig I;14;202455;197046;129834;145292
154;Leipzig II;14;212804;202762;144581;152886
155;Leipzig-Land;14;231084;235291;148389;178722
156;Mei�en;14;216629;221971;140109;170350
157;Bautzen I;14;237786;247435;154966;189284
158;G�rlitz;14;238958;250038;149737;185596
159;S�chsische Schweiz - Osterzgebirge;14;215674;219769;141214;170475
160;Dresden I;14;230676;219283;157220;158437
161;Dresden II - Bautzen II;14;231247;219691;154609;169981
162;Mittelsachsen;14;223149;230350;143690;176042
163;Chemnitz;14;205652;207889;136100;158095
164;Chemnitzer Umland - Erzgebirgskreis II;14;202743;209048;133277;161299
165;Erzgebirgskreis I;14;247624;258186;159655;198368
166;Zwickau;14;229535;237289;145614;177857
167;Vogtlandkreis;14;213732;221730;137330;166303
168;Waldeck;6;192360;194361;140808;154436
169;Kassel;6;222636;220889;161033;173306
170;Werra-Mei�ner - Hersfeld-Rotenburg;6;184337;188904;135727;149474
171;Schwalm-Eder;6;194732;196524;144490;156803
172;Marburg;6;185071;183984;135293;143978
173;Lahn-Dill;6;212611;212485;147952;160766
174;Gie�en;6;228413;225883;165668;174567
175;Fulda;6;239786;238580;177038;188829
176;Hochtaunus;6;182246;181959;141075;148635
177;Wetterau;6;246697;242940;183820;191145
178;Rheingau-Taunus - Limburg;6;221226;220619;166456;175769
179;Wiesbaden;6;187479;186409;133425;140838
180;Hanau;6;241923;239412;178604;188752
181;Main-Taunus;6;195505;193679;155748;161332
182;Frankfurt am Main I;6;190058;183183;132429;135863
183;Frankfurt am Main II;6;212140;203726;156548;157455
184;Gro�-Gerau;6;172278;169776;128119;135836
185;Offenbach;6;221180;220625;158857;170268
186;Darmstadt;6;233622;229735;176435;183416
187;Odenwald;6;234911;234100;176808;187764
188;Bergstra�e;6;199708;199215;148308;158094
189;Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I;16;204717;208484;136404;158345
190;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II;16;201700;206854;131047;155366
191;Kyffh�userkreis - S�mmerda - Weimarer Land I;16;200901;207463;127925;155082
192;Gotha - Ilm-Kreis;16;214510;218863;139919;165851
193;Erfurt - Weimar - Weimarer Land II;16;225708;223315;151236;169272
194;Gera - Jena - Saale-Holzland-Kreis;16;245228;248530;164803;190472
195;Greiz - Altenburger Land;16;182336;190763;116989;144322
196;Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis;16;231447;239958;148939;181086
197;Suhl - Schmalkalden-Meiningen - Hildburghausen;16;207012;213525;130502;158033
198;Neuwied;7;242568;242693;172799;190310
199;Ahrweiler;7;195658;193865;139346;152517
200;Koblenz;7;196560;196029;138790;152025
201;Mosel/Rhein-Hunsr�ck;7;179373;180870;130191;143887
202;Kreuznach;7;190569;191864;133191;147733
203;Bitburg;7;168357;169169;120001;132623
204;Trier;7;191691;185437;138338;143881
205;Montabaur;7;213225;212396;154343;167673
206;Mainz;7;251837;244758;191097;198652
207;Worms;7;202156;198651;147381;157641
